create_time,hashtag_names,id,username,video_description,view_count,comment_count,like_count,music_id,region_code,share_count,voice_to_text,effect_ids,playlist_id,tiktokurl,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second,utc_date_string,utc_time_string
1704153590,"['football', 'packers', 'fyp', 'greenbaypackers', 'jordanlove', 'gopackgo', 'nfc']",7319283826210065706,packerprodz84,Prove something. Go Pack Go 💚💛#fyp #packers #greenbaypackers #football #jordanlove #gopackgo #nfc @Green Bay Packers ,48,2,44,7.309689191617547e+18,US,0,,,,https://www.tiktok.com/@packerprodz84/video/7319283826210065706,2024,1,1,23,59,50,2024-01-01,23:59:50
1704153585,[],7319283803313229099,jotarokujothegod,Replying to @Jeph  this is because i said trump was in the epstein list btw,17,5,50,7.173071303200198e+18,US,0,,,,https://www.tiktok.com/@jotarokujothegod/video/7319283803313229099,2024,1,1,23,59,45,2024-01-01,23:59:45
1704153582,"['liberal', 'democrat', 'republican', 'consevative', 'cancelthegovernment', 'antimarxismo', 'theusisarepublic', 'unitedstatesgatekeepingcommitee']",7319283800620453150,booker_the_antimarksist,Replying to @inplainsight12 In front of the U.S.G.C  ( United States Gatekeeping Committee) of #theusisarepublic #republican #democrat #liberal #consevative #antimarxismo #cancelthegovernment # #UnitedStatesGatekeepingCommitee ,2,14,40,7.069679541198785e+18,US,0,,,,https://www.tiktok.com/@booker_the_antimarksist/video/7319283800620453150,2024,1,1,23,59,42,2024-01-01,23:59:42
1704153579,"['duramax', 'foryou', 'diesel', 'fyp', 'foryoupage', 'trump2024', 'indatclappedlb7wetrust']",7319283786456239403,datclappedlb7,Dam right #indatclappedlb7wetrust #fyp #foryou #foryoupage #diesel #duramax #trump2024 ,0,7,61,7.311510411404691e+18,US,0,,,,https://www.tiktok.com/@datclappedlb7/video/7319283786456239403,2024,1,1,23,59,39,2024-01-01,23:59:39
1704153586,"['history', 'netflix', 'fyp', 'beautifuldogs', 'republican', 'historybuff', 'comedy', 'shanegillis']",7319283766394981674,collectiblenostalgia,relatable😂 #shanegillis #beautifuldogs #netflix #comedy #fyp #history #historybuff #republican ,19,2,31,7.31928392619395e+18,US,0,,,,https://www.tiktok.com/@collectiblenostalgia/video/7319283766394981674,2024,1,1,23,59,46,2024-01-01,23:59:46
1704153568,"['haha', 'funny', 'trump', 'funnyvideo', 'politics', 'funnyvideos', 'political', 'maga', 'melania', 'trumpstinks', 'epstein', 'trumpsmells', 'melaniatrump', 'politicalhumor', 'politicaltiktok', 'politicstiktok']",7319283711822941483,bigdaddytail,#trump #TrumpSmells #trumpstinks #melaniatrump #Melania #funny #funnyvideos #funnyvideo #haha #epstein #maga #politics #political #politicaltiktok ##politicstiktok #politicalhumor ,19,23,36,,US,0,,,,https://www.tiktok.com/@bigdaddytail/video/7319283711822941483,2024,1,1,23,59,28,2024-01-01,23:59:28
1704153562,"['lank', 'trump2024']",7319283710145285422,2_3_11_6,#lank#trump2024 @Carter mason @Č⬇️ @ababananan @69🔛🔝 @3🙈 ,2,1,9,7.109234178626637e+18,US,0,,,,https://www.tiktok.com/@2_3_11_6/video/7319283710145285422,2024,1,1,23,59,22,2024-01-01,23:59:22
1704153558,"['animeedit', 'dororo', 'dororoedit', 'tahomaru', 'tahomarudororo', 'watchdororo', 'tahomaruedit', 'tahomarukagemitsu', 'watchdororonow', 'kagemitsutahomaru']",7319283692164140331,.dioptaser,dororo dub was crazy they had no chill #animeedit #dororo #watchdororonow #watchdororo #dororoedit #tahomaru #tahomarudororo #tahomaruedit #tahomarukagemitsu #kagemitsutahomaru ,42,5,18,7.319283810061798e+18,US,2,,,,https://www.tiktok.com/@.dioptaser/video/7319283692164140331,2024,1,1,23,59,18,2024-01-01,23:59:18
1704153560,"['😂😂😂', '🤭🤭🤭', '🤪🤪🤪', 'trump2024', 'fypage❤❤❤❤', 'fyp🇺🇸🇺🇸🇺🇸❤❤❤❤']",7319283690037759278,a_pinch_of_cinnamon60,#🤭🤭🤭 #😂😂😂 #🤪🤪🤪 #TRUMP2024 #fyp🇺🇸🇺🇸🇺🇸❤❤❤❤ #fypage❤❤❤❤ ,11,16,59,6.780105155212741e+18,US,0,,,,https://www.tiktok.com/@a_pinch_of_cinnamon60/video/7319283690037759278,2024,1,1,23,59,20,2024-01-01,23:59:20
1704153556,"['donaldtrump', 'trump', 'notmine', 'lovetrump', '2024']",7319283658521709866,quadguy131,#trump #donaldtrump #2024 #lovetrump #notmine,27,1,15,7.04838848136579e+18,US,0,,,,https://www.tiktok.com/@quadguy131/video/7319283658521709866,2024,1,1,23,59,16,2024-01-01,23:59:16
